orderNumber,totalCost
10100,10223.83
10101,10549.01
10102,5494.78
10103,50218.95
10104,40206.2
10105,53959.21
10106,52151.81
10107,22292.620000000003
10108,51001.22
10109,25833.14
10110,48425.69
10111,16537.85
10112,7674.9400000000005
10113,11044.300000000001
10114,33383.14
10115,21665.98
10116,1627.56
10117,44380.15
10118,3101.4
10119,35826.33
10120,45864.03
10121,16700.47
10122,50824.66
10123,14571.44
10124,32641.98
10125,7565.08
10126,57131.92
10127,58841.35
10128,13884.99
10129,29429.14
10130,6036.959999999999
10131,17032.29
10132,2880.0
10133,22366.04
10134,23419.469999999998
10135,55601.84
10136,14232.7
10137,13920.26
10138,32077.44
10139,24013.52
10140,38675.13
10141,29716.86
10142,56052.56
10143,41016.75
10144,1128.1999999999998
10145,50342.740000000005
10146,6631.36
10147,32680.31
10148,41554.73
10149,29997.09
10150,38350.15
10151,32723.04
10152,9821.32
10153,44939.85
10154,4465.85
10155,37602.479999999996
10156,4599.52
10157,17746.260000000002
10158,1491.38
10159,54682.68
10160,20452.5
10161,36164.46
10162,30876.44
10163,22042.37
10164,27121.899999999998
10165,67392.85
10166,9977.85
10167,44167.09
10168,50743.65
10169,38547.19
10170,15130.97
10171,16909.84
10172,24879.08
10173,37723.79
10174,23936.53
10175,37455.770000000004
10176,38524.29
10177,31428.21
10178,33818.340000000004
10179,22963.600000000002
10180,42783.81
10181,55069.55
10182,45084.380000000005
10183,34606.28
10184,47513.19
10185,52548.49
10186,22275.73
10187,28287.73
10188,29954.91
10189,3879.96
10190,10721.86
10191,27988.47
10192,55425.770000000004
10193,35505.63
10194,39712.1
10195,36092.4
10196,38139.18
10197,40473.86
10198,20644.24
10199,7678.25
10200,17193.059999999998
10201,23923.93
10202,20220.04
10203,40062.53
10204,58793.53
10205,13059.16
10206,36527.61
10207,59265.14
10208,49614.72
10209,21053.69
10210,47177.59
10211,49165.16
10212,59830.549999999996
10213,7310.42
10214,22162.61
10215,36070.47
10216,5759.42
10217,22474.17
10218,7612.0599999999995
10219,12573.279999999999
10220,32538.739999999998
10221,16901.38
10222,56822.65
10223,44894.74
10224,18997.89
10225,47375.92
10226,23552.59
10227,40978.53
10228,20355.24
10229,43369.3
10230,33820.62
10231,15322.93
10232,24995.61
10233,7178.66
10234,31670.37
10235,29284.42
10236,5899.38
10237,22602.36
10238,28211.7
10239,16212.59
10240,15183.630000000001
10241,36069.26
10242,1679.92
10243,6276.6
10244,26155.91
10245,32239.47
10246,35420.74
10247,28394.54
10248,41445.21
10249,11843.45
10250,42798.08
10251,31102.850000000002
10252,25080.96
10253,45443.54
10254,37281.36
10255,4632.31
10256,4710.73
10257,16753.3
10258,22037.91
10259,44160.92
10260,37769.38
10261,22997.45
10262,47065.36
10263,42044.77
10264,18473.71
10265,9415.13
10266,51619.02
10267,20314.440000000002
10268,35034.57
10269,6419.84
10270,35806.73
10271,37430.89
10272,23715.7
10273,45352.47
10274,12530.51
10275,47924.19
10276,51152.86
10277,2611.84
10278,33347.880000000005
10279,20009.53
10280,48298.99
10281,39641.43
10282,47979.98
10283,37527.58
10284,32260.16
10285,43134.04
10286,1960.8
10287,61402.0
10288,38785.48
10289,12538.01
10290,5858.56
10291,48809.9
10292,35321.97
10293,33924.24
10294,4424.4
10295,15059.76
10296,31310.09
10297,17359.53
10298,6066.78
10299,34341.08
10300,24101.81
10301,36798.88
10302,23908.239999999998
10303,3474.66
10304,53116.99
10305,47411.33
10306,52825.29
10307,23333.06
10308,42339.76
10309,17876.32
10310,61234.67
10311,36140.38
10312,55639.66
10313,33594.58
10314,53745.340000000004
10315,19501.82
10316,46788.14
10317,2434.25
10318,35152.12
10319,27550.510000000002
10320,16799.03
10321,48355.87
10322,50799.69
10323,7466.32
10324,44400.5
10325,34638.14
10326,19206.68
10327,20564.86
10328,37654.09
10329,50025.35
10330,15822.839999999998
10331,45994.07
10332,47159.11
10333,26248.78
10334,23014.17
10335,6466.44
10336,51209.58
10337,25505.98
10338,12081.52
10339,48927.64
10340,24945.21
10341,42813.83
10342,40265.6
10343,17104.91
10344,18888.31
10345,1676.1399999999999
10346,14191.119999999999
10347,41995.62
10348,33145.560000000005
10349,39964.63
10350,46493.16
10351,13671.82
10352,9658.74
10353,26304.13
10354,39440.59
10355,25529.78
10356,26311.63
10357,40676.26
10358,44185.46
10359,32600.61
10360,52166.0
10361,31835.36
10362,12692.189999999999
10363,45785.34
10364,1834.56
10365,8307.28
10366,14379.9
10367,39580.6
10368,13874.75
10369,28322.829999999998
10370,27083.780000000002
10371,35137.54
10372,33967.73
10373,46770.52
10374,21432.31
10375,49523.67
10376,3452.75
10377,23602.9
10378,32289.12
10379,16621.27
10380,34404.21
10381,32626.09
10382,47765.59
10383,36851.979999999996
10384,14155.57
10385,4466.71
10386,46968.520000000004
10387,3516.04
10388,30293.77
10389,27966.54
10390,55902.5
10391,29848.52
10392,8807.119999999999
10393,33593.32
10394,18102.74
10395,17928.09
10396,27695.54
10397,12432.320000000002
10398,46656.94
10399,30253.75
10400,31755.34
10401,43525.04
10402,12190.85
10403,37258.94
10404,41426.81
10405,35157.75
10406,21638.62
10407,52229.55
10408,615.45
10409,2326.18
10410,36442.34
10411,29070.38
10412,46895.48
10413,28500.78
10414,50806.85
10415,10945.26
10416,35362.26
10417,28574.899999999998
10418,23627.44
10419,52420.07
10420,42251.51
10421,7639.1
10422,5849.44
10423,8597.73
10424,29310.3
10425,41623.44
